date,day_of_week,dow,month,year,week_of_year,is_weekend,weekly_factor,seasonal_factor,trend,temperature,rain,holiday,promotion,local_event,tourism_season,festival_week,economic_slowdown,base_orders,total_orders
2016-01-01,Friday,4,1,2016,53,0,1.0,1.003442671231167,1.0,21.662276020592046,0,0,0,0,0,0,0,150.51640068467506,122
2016-01-02,Saturday,5,1,2016,53,1,1.25,1.0068843223245492,1.000085587127696,19.929423212713903,0,0,0,0,0,0,0,188.80696849905354,173
2016-01-03,Sunday,6,1,2016,53,1,1.25,1.0103239334446508,1.000171174255392,22.459262286534617,1,0,0,1,0,0,0,189.4681640421868,229
2016-01-04,Monday,0,1,2016,1,0,1.0,1.013760485360464,1.000256761383088,25.257113837247275,0,0,0,0,0,0,0,152.10311698572076,173
2016-01-05,Tuesday,1,1,2016,1,0,1.0,1.0171929597474894,1.000342348510784,20.157187863204456,1,0,0,0,0,0,0,152.63117913636583,168
2016-01-06,Wednesday,2,1,2016,1,0,1.0,1.020620339489487,1.00042793563848,20.328606103626807,0,0,0,0,0,0,0,153.1585648959168,176
2016-01-07,Thursday,3,1,2016,1,0,1.0,1.0240416089798705,1.000513522766176,25.939718895515703,0,0,0,0,0,0,0,153.68512164893895,157
2016-01-08,Friday,4,1,2016,1,0,1.0,1.027455754422653,1.000599109893872,23.675091908591376,0,0,0,0,0,0,0,154.2106969995965,151
2016-01-09,Saturday,5,1,2016,1,1,1.25,1.0308617641328561,1.000684697021568,20.134665048837952,0,0,0,0,0,0,0,193.41892352107615,206
2016-01-10,Sunday,6,1,2016,1,1,1.25,1.0342586288362956,1.000770284149264,23.34061157257267,1,0,0,0,0,0,0,194.07286909956144,181
2016-01-11,Monday,0,1,2016,2,0,1.0,1.0376453419686489,1.00085587127696,20.492014019995057,1,0,0,0,0,0,0,155.78001492187667,141
2016-01-12,Tuesday,1,1,2016,2,0,1.0,1.0410208999737238,1.0009414584046559,20.65385573797542,1,0,1,0,0,0,0,156.30014667741398,162
2016-01-13,Wednesday,2,1,2016,2,0,1.0,1.044384302600833,1.001027045532352,22.945101944739758,1,0,0,0,0,0,0,156.81853992493168,173
2016-01-14,Thursday,3,1,2016,2,0,1.0,1.04773455320119,1.001112632660048,16.646886926086104,0,0,1,0,0,0,0,157.33504453262134,168
2016-01-15,Friday,4,1,2016,2,0,1.0,1.0510706590232375,1.0011982197877438,17.37877945362277,0,0,0,0,0,0,0,157.8495109027794,173
2016-01-16,Saturday,5,1,2016,2,1,1.25,1.0543916315068211,1.00128380691544,21.03271898761814,1,0,0,0,0,0,0,197.9522375202997,200
2016-01-17,Sunday,6,1,2016,2,1,1.25,1.0576964865761218,1.0013693940431359,19.846330967802817,0,0,0,0,0,0,0,198.5896668458034,215
2016-01-18,Monday,0,1,2016,3,0,1.0,1.0609842449312579,1.001454981170832,23.99195424434871,1,0,0,0,0,0,0,159.37919355452735,143
2016-01-19,Tuesday,1,1,2016,3,0,1.0,1.064253932338473,1.001540568298528,20.48862439036001,1,0,0,0,0,0,0,159.8840232312326,151
2016-01-20,Wednesday,2,1,2016,3,0,1.0,1.0675045799188227,1.0016261554262238,19.13831789193526,0,0,0,0,0,0,0,160.38607624259646,167
