date,day_of_week,dow,month,year,week_of_year,is_weekend,weekly_factor,seasonal_factor,trend,temperature,rain,holiday,promotion,local_event,tourism_season,festival_week,economic_slowdown,base_orders,total_orders,online_orders,dine_in_orders,orders_lag_1,orders_lag_7,orders_lag_14,orders_lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_14,momentum_1_7,momentum_7_14
2016-01-31,Sunday,6,1,2016,4,1,1.25,1.1017341887704208,1.00256761383088,23.281589601832852,0,0,0,0,0,0,0,207.10556563339895,219,76,143,224.0,186.0,215.0,122.0,180.28571428571428,171.28571428571428,171.7,24.533747408513932,27.69178876192661,38.0,-29.0
2016-02-01,Monday,0,2,2016,5,0,1.0,1.10468312147311,1.0026532009585758,30.79099062718231,1,0,0,0,0,0,0,166.14211016848876,144,72,72,219.0,147.0,143.0,173.0,185.0,171.57142857142858,174.93333333333334,28.641461787648616,28.19360070794649,72.0,4.0
2016-02-02,Tuesday,1,2,2016,5,0,1.0,1.10760103430766,1.002738788086272,25.339560041169197,0,0,0,0,0,0,0,166.5951778237146,167,58,109,144.0,174.0,151.0,229.0,184.57142857142858,171.64285714285714,173.96666666666667,29.319260693596117,28.116808941537894,-30.0,23.0
2016-02-03,Wednesday,2,2,2016,5,0,1.0,1.110487062633524,1.0028243752139678,22.351220344808496,0,0,0,0,0,0,0,167.0435242152987,172,60,112,167.0,169.0,167.0,173.0,183.57142857142858,172.78571428571428,171.9,29.85440862394894,27.532298714917957,-2.0,2.0
2016-02-04,Thursday,3,2,2016,5,0,1.0,1.1133403512582236,1.0029099623416635,28.134652299220743,0,0,0,0,0,0,0,167.48701946307597,161,56,105,172.0,167.0,154.0,168.0,184.0,173.14285714285714,171.86666666666667,29.631064780058146,27.483861398330436,5.0,13.0
2016-02-05,Friday,4,2,2016,5,0,1.0,1.1161600546907602,1.00299554946936,22.14547178462494,0,0,0,1,0,0,0,167.92553510254646,227,79,148,161.0,195.0,124.0,176.0,183.14285714285714,173.64285714285714,171.63333333333333,30.28436654683171,27.17070578301663,-34.0,71.0
2016-02-06,Saturday,5,2,2016,5,1,1.25,1.1189453373921527,1.0030811365970558,26.5738576546219,0,0,0,0,0,0,0,210.4486801539931,211,73,138,227.0,224.0,182.0,157.0,187.71428571428572,181.0,173.33333333333334,34.494996186472676,26.634275199160523,3.0,42.0
2016-02-07,Sunday,6,2,2016,5,1,1.25,1.121695374023025,1.003166723724752,20.205758329511937,1,0,0,0,0,0,0,210.98390125797908,193,96,97,211.0,219.0,186.0,151.0,185.85714285714286,183.07142857142858,175.13333333333333,32.508606918930354,27.81937422764187,-8.0,33.0
2016-02-08,Monday,0,2,2016,6,0,1.0,1.1244093496881735,1.0032523108524478,22.235909337713384,0,0,0,0,0,0,0,169.2099417628137,154,53,101,193.0,144.0,147.0,206.0,182.14285714285714,183.57142857142858,176.53333333333333,29.430305080696318,27.938708427044926,49.0,-3.0
2016-02-09,Tuesday,1,2,2016,6,0,1.0,1.1270864601780357,1.0033378979801435,26.944906716509145,0,0,0,0,0,0,0,169.62728396953668,204,71,133,154.0,167.0,174.0,181.0,183.57142857142858,184.07142857142858,174.8,27.44605097797708,27.288950386315992,-13.0,-7.0
2016-02-10,Wednesday,2,2,2016,6,0,1.0,1.1297259122069965,1.00342348510784,28.701695350336045,0,0,0,0,0,0,0,170.03902680650666,164,57,107,204.0,172.0,169.0,141.0,188.85714285714286,186.21428571428572,175.56666666666666,27.28509099263172,27.613203562589657,32.0,3.0
2016-02-11,Thursday,3,2,2016,6,0,1.0,1.1323269236484557,1.0035090722355358,27.13045102599269,0,0,0,0,0,0,0,170.445051092667,139,48,91,164.0,161.0,167.0,162.0,187.71428571428572,185.85714285714286,176.33333333333334,28.259006149746856,27.883982561974292,3.0,-6.0
