member_id,age,gender,city,signup_channel,plan_type,engagement_level,join_date,cancel_date
1,58,male,Recife,walk_in,monthly,medium,2021-10-03,2022-11-25
2,19,female,Curitiba,referral,monthly,high,2019-07-11,
3,23,female,São Paulo,referral,quarterly,high,2023-11-29,2024-04-25
4,30,male,Recife,organic,quarterly,medium,2022-10-23,2023-01-22
5,33,female,Florianópolis,organic,monthly,low,2023-12-09,
6,25,male,São Paulo,google_ads,monthly,low,2024-10-12,2024-12-25
7,31,male,São Paulo,instagram_ads,monthly,medium,2020-07-27,2020-10-13
8,31,female,São Paulo,referral,monthly,high,2024-02-19,
9,27,female,São Paulo,google_ads,annual,high,2019-06-22,
10,27,male,Rio de Janeiro,instagram_ads,monthly,medium,2018-10-29,
11,46,male,Curitiba,instagram_ads,monthly,medium,2023-12-22,2024-03-08
12,29,female,Florianópolis,walk_in,monthly,low,2024-05-28,
13,31,female,Florianópolis,google_ads,monthly,high,2019-03-17,
14,25,female,Curitiba,referral,quarterly,low,2024-12-14,
15,30,male,Curitiba,referral,monthly,medium,2024-09-17,
16,43,male,São Paulo,organic,quarterly,medium,2022-05-21,
17,20,female,Rio de Janeiro,google_ads,annual,medium,2018-02-10,
18,28,male,São Paulo,organic,monthly,low,2020-06-10,2022-06-16
19,30,male,Rio de Janeiro,organic,monthly,high,2021-08-05,2022-12-31
20,42,male,Recife,google_ads,monthly,low,2019-09-28,
21,33,female,Recife,instagram_ads,annual,high,2018-01-03,
22,33,female,Curitiba,organic,monthly,high,2018-10-22,
23,19,female,Curitiba,referral,monthly,low,2023-12-08,2024-06-07
24,18,male,Florianópolis,organic,quarterly,medium,2024-12-26,
25,33,female,Rio de Janeiro,google_ads,quarterly,low,2018-03-30,2023-11-25
26,22,male,Recife,walk_in,monthly,medium,2018-12-14,2023-11-04
27,25,male,Florianópolis,walk_in,annual,low,2018-04-18,2022-01-31
28,21,female,Recife,walk_in,monthly,low,2023-06-15,2024-03-13
29,18,male,Recife,organic,annual,low,2019-10-29,2021-08-20
30,22,male,Curitiba,organic,quarterly,high,2018-12-29,2023-04-04
31,18,female,Curitiba,instagram_ads,annual,medium,2021-12-29,2023-06-12
32,56,female,Florianópolis,instagram_ads,annual,medium,2020-04-14,
33,25,male,São Paulo,walk_in,quarterly,low,2022-06-12,
34,49,male,Curitiba,google_ads,monthly,low,2020-10-06,2023-04-07
35,28,female,Rio de Janeiro,organic,quarterly,low,2020-03-05,2023-05-30
36,22,female,Florianópolis,walk_in,monthly,low,2019-06-15,2024-01-28
37,31,female,Curitiba,organic,monthly,medium,2022-10-14,2023-08-17
38,40,female,Curitiba,walk_in,annual,medium,2019-06-13,
39,23,male,Rio de Janeiro,organic,monthly,medium,2024-10-11,
40,45,male,Rio de Janeiro,instagram_ads,monthly,medium,2019-01-07,
41,41,male,São Paulo,google_ads,monthly,medium,2022-03-29,
42,28,female,Recife,google_ads,annual,low,2021-10-03,
43,30,male,Florianópolis,google_ads,quarterly,low,2023-04-08,2024-12-08
44,26,female,Recife,organic,monthly,medium,2018-09-30,2021-10-22
45,35,female,Rio de Janeiro,organic,annual,low,2018-03-31,2020-09-22
46,42,female,Curitiba,walk_in,monthly,medium,2018-05-31,
47,54,female,Porto Alegre,referral,monthly,high,2022-04-07,2024-08-21
48,26,male,Florianópolis,walk_in,monthly,low,2022-04-04,2024-09-17
49,32,male,Recife,instagram_ads,monthly,medium,2020-05-04,
50,24,male,Porto Alegre,organic,monthly,high,2018-09-26,
