member_id,date,amount,plan_type
1,2021-10-03,100,monthly
1,2021-11-02,100,monthly
1,2021-12-02,100,monthly
1,2022-01-01,100,monthly
1,2022-01-31,100,monthly
1,2022-03-02,100,monthly
1,2022-04-01,100,monthly
1,2022-05-01,100,monthly
1,2022-05-31,100,monthly
1,2022-06-30,100,monthly
1,2022-07-30,100,monthly
1,2022-08-29,100,monthly
1,2022-09-28,100,monthly
1,2022-10-28,100,monthly
2,2019-07-11,100,monthly
2,2019-08-10,100,monthly
2,2019-09-09,100,monthly
2,2019-10-09,100,monthly
2,2019-11-08,100,monthly
2,2019-12-08,100,monthly
2,2020-01-07,100,monthly
2,2020-02-06,100,monthly
2,2020-03-07,100,monthly
2,2020-04-06,100,monthly
2,2020-05-06,100,monthly
2,2020-06-05,100,monthly
2,2020-07-05,100,monthly
2,2020-08-04,100,monthly
2,2020-09-03,100,monthly
2,2020-10-03,100,monthly
2,2020-11-02,100,monthly
2,2020-12-02,100,monthly
2,2021-01-01,100,monthly
2,2021-01-31,100,monthly
2,2021-03-02,100,monthly
2,2021-04-01,100,monthly
2,2021-05-01,100,monthly
2,2021-05-31,100,monthly
2,2021-06-30,100,monthly
2,2021-07-30,100,monthly
2,2021-08-29,100,monthly
2,2021-09-28,100,monthly
2,2021-10-28,100,monthly
2,2021-11-27,100,monthly
2,2021-12-27,100,monthly
2,2022-01-26,100,monthly
2,2022-02-25,100,monthly
2,2022-03-27,100,monthly
2,2022-04-26,100,monthly
2,2022-05-26,100,monthly
2,2022-06-25,100,monthly
2,2022-07-25,100,monthly
2,2022-08-24,100,monthly
2,2022-09-23,100,monthly
2,2022-10-23,100,monthly
2,2022-11-22,100,monthly
2,2022-12-22,100,monthly
2,2023-01-21,100,monthly
2,2023-02-20,100,monthly
2,2023-03-22,100,monthly
2,2023-04-21,100,monthly
2,2023-05-21,100,monthly
2,2023-06-20,100,monthly
2,2023-07-20,100,monthly
2,2023-08-19,100,monthly
2,2023-09-18,100,monthly
2,2023-10-18,100,monthly
2,2023-11-17,100,monthly
2,2023-12-17,100,monthly
2,2024-01-16,100,monthly
2,2024-02-15,100,monthly
2,2024-03-16,100,monthly
2,2024-04-15,100,monthly
2,2024-05-15,100,monthly
2,2024-06-14,100,monthly
2,2024-07-14,100,monthly
2,2024-08-13,100,monthly
2,2024-09-12,100,monthly
2,2024-10-12,100,monthly
2,2024-11-11,100,monthly
2,2024-12-11,100,monthly
3,2023-11-29,270,quarterly
3,2024-02-27,270,quarterly
4,2022-10-23,270,quarterly
4,2023-01-21,270,quarterly
5,2023-12-09,100,monthly
5,2024-01-08,100,monthly
5,2024-02-07,100,monthly
5,2024-03-08,100,monthly
5,2024-04-07,100,monthly
5,2024-05-07,100,monthly
5,2024-06-06,100,monthly
5,2024-07-06,100,monthly
5,2024-08-05,100,monthly
5,2024-09-04,100,monthly
5,2024-10-04,100,monthly
5,2024-11-03,100,monthly
5,2024-12-03,100,monthly
6,2024-10-12,100,monthly
6,2024-11-11,100,monthly
6,2024-12-11,100,monthly
7,2020-07-27,100,monthly
7,2020-08-26,100,monthly
7,2020-09-25,100,monthly
8,2024-02-19,100,monthly
8,2024-03-20,100,monthly
8,2024-04-19,100,monthly
8,2024-05-19,100,monthly
8,2024-06-18,100,monthly
8,2024-07-18,100,monthly
8,2024-08-17,100,monthly
8,2024-09-16,100,monthly
8,2024-10-16,100,monthly
8,2024-11-15,100,monthly
8,2024-12-15,100,monthly
9,2019-06-22,960,annual
9,2020-06-21,960,annual
9,2021-06-21,960,annual
9,2022-06-21,960,annual
9,2023-06-21,960,annual
9,2024-06-20,960,annual
