clinic_id,city,number_of_veterinarians,clinic_capacity,clinic_popularity,opening_year,emergency_enabled
C001,Chihuahua,4,36,0.8225646316108401,2017,False
C002,San Luis Potosí,3,33,0.9168578594140873,2023,True
C003,Chihuahua,5,40,1.1862528132298238,2011,False
C004,San Luis Potosí,5,45,0.9700623497964979,2015,False
C005,Tijuana,6,66,1.0989280440549523,2014,False
C006,Guadalajara,4,32,1.08453678109946,2012,False
C007,Mérida,6,60,1.0365191150830908,2015,False
C008,Querétaro,3,27,0.975734600746308,2012,True
C009,Mérida,4,40,0.8644885149016018,2011,False
C010,Guadalajara,2,22,0.9410275425336676,2012,True
C011,Mérida,2,18,1.1849789179768444,2023,False
C012,Chihuahua,6,66,1.1633063543866615,2012,False
C013,Aguascalientes,6,66,1.1933692563579372,2015,False
C014,Tijuana,4,44,1.0580691161637799,2013,False
C015,Hermosillo,3,33,1.022080324639785,2021,True
C016,Querétaro,2,22,1.140371379507005,2010,True
C017,Chihuahua,6,48,0.8703701010709382,2013,True
C018,Mérida,6,60,1.1568186220708452,2020,False
C019,Cancún,6,54,0.9480634801021778,2018,False
C020,Mérida,3,24,0.9578765867237888,2015,False
C021,San Luis Potosí,2,16,1.0809936335948438,2016,True
C022,Toluca,2,22,1.0807867509030813,2023,False
C023,Chihuahua,2,22,0.8155338937717693,2015,False
C024,León,5,55,1.1903408317850137,2021,False
C025,Puebla,2,22,0.963581177765708,2019,False
C026,Toluca,3,33,0.8634585790569964,2015,True
C027,Querétaro,6,60,0.8192235696788135,2015,False
C028,León,2,22,1.0343102325093854,2020,False
C029,Cancún,3,30,0.8783164539157186,2022,True
C030,Querétaro,3,30,0.91274190990936,2013,False
C031,Cancún,4,32,1.0926591021198562,2013,False
C032,San Luis Potosí,2,18,0.998624476273231,2018,True
C033,Tijuana,6,48,0.9172843086792258,2018,False
C034,San Luis Potosí,3,24,1.0948142227164035,2022,False
C035,Monterrey,3,30,1.0824968908625985,2014,False
C036,Chihuahua,4,32,0.9511950360489018,2016,False
C037,Querétaro,2,20,0.9910859563520911,2018,False
C038,Guadalajara,5,40,1.0092391376680596,2018,True
C039,Querétaro,5,40,0.9109524731924531,2021,False
C040,Hermosillo,5,40,1.0738924690215517,2022,True
C041,Querétaro,4,32,0.8659337044548004,2017,False
C042,Querétaro,2,20,0.8535408475202533,2014,True
C043,Puebla,4,32,0.8964339329318528,2018,True
C044,Chihuahua,4,40,0.9231108959084198,2010,False
C045,San Luis Potosí,5,45,0.9402350235226388,2011,False
C046,Tijuana,6,66,0.983738723178469,2010,False
C047,Cancún,2,20,0.851218335583109,2020,True
C048,Mérida,3,30,0.8163474465065916,2014,True
C049,Monterrey,3,24,0.9286331058720116,2019,False
C050,Guadalajara,3,33,0.947565455827909,2017,False
