clinic_id,visit_date,number_of_daily_visits,daily_revenue,clinic_capacity,vet_utilization_rate,average_wait_time
C001,2020-01-01,5,392.0,36,0.1388888888888889,16.004620697211998
C001,2020-01-02,9,1588.72,36,0.25,28.01527818426766
C001,2020-01-03,4,949.3699999999999,36,0.1111111111111111,8.447496811703179
C001,2020-01-04,5,770.03,36,0.1388888888888889,20.570153676355893
C001,2020-01-05,8,518.6,36,0.2222222222222222,21.881924732106643
C001,2020-01-06,10,2620.5,36,0.2777777777777778,22.916260712398415
C001,2020-01-07,3,505.97,36,0.08333333333333333,19.078380029334
C001,2020-01-08,3,125.63,36,0.08333333333333333,11.377864342411431
C001,2020-01-09,5,1212.82,36,0.1388888888888889,6.927915573015854
C001,2020-01-10,9,2082.6,36,0.25,25.18820462564686
C001,2020-01-11,9,784.61,36,0.25,20.221847375609045
C001,2020-01-12,2,322.48,36,0.05555555555555555,5.0
C001,2020-01-13,6,615.59,36,0.16666666666666666,16.37748544801661
C001,2020-01-14,5,453.29999999999995,36,0.1388888888888889,5.081586314908545
C001,2020-01-15,5,741.48,36,0.1388888888888889,18.575638234458246
C001,2020-01-16,6,1237.46,36,0.16666666666666666,12.909821047680275
C001,2020-01-17,7,941.04,36,0.19444444444444445,23.986261393158593
C001,2020-01-18,6,629.31,36,0.16666666666666666,17.061472213128937
C001,2020-01-19,6,402.2,36,0.16666666666666666,22.508673464574404
C001,2020-01-20,3,203.11,36,0.08333333333333333,11.537780084635195
C001,2020-01-21,7,432.03000000000003,36,0.19444444444444445,6.919490598222907
C001,2020-01-22,5,1229.86,36,0.1388888888888889,8.76946678478176
C001,2020-01-23,4,1993.43,36,0.1111111111111111,12.434086631342142
C001,2020-01-24,3,513.26,36,0.08333333333333333,11.72887463152779
C001,2020-01-25,6,684.85,36,0.16666666666666666,19.474321776578996
C001,2020-01-26,8,889.17,36,0.2222222222222222,16.438892967347506
C001,2020-01-27,3,1497.67,36,0.08333333333333333,14.404783517673437
C001,2020-01-28,1,67.38,36,0.027777777777777776,16.166212234551644
C001,2020-01-29,8,1742.5800000000002,36,0.2222222222222222,10.092046668837769
C001,2020-01-30,8,927.7399999999999,36,0.2222222222222222,21.235590394976107
C001,2020-01-31,9,1226.09,36,0.25,5.0
C001,2020-02-01,4,187.32,36,0.1111111111111111,16.218906376420172
C001,2020-02-02,8,464.77,36,0.2222222222222222,17.297823040867108
C001,2020-02-03,7,1430.28,36,0.19444444444444445,11.89329724172504
C001,2020-02-04,3,371.0,36,0.08333333333333333,12.348245322463931
C001,2020-02-05,8,806.23,36,0.2222222222222222,16.935763299383222
C001,2020-02-06,9,2201.04,36,0.25,27.26615529547706
C001,2020-02-07,5,572.5600000000001,36,0.1388888888888889,8.401531007951432
C001,2020-02-08,8,984.94,36,0.2222222222222222,18.427836881636622
C001,2020-02-09,5,1001.52,36,0.1388888888888889,10.869569289742376
C001,2020-02-10,8,476.72,36,0.2222222222222222,14.087334969742544
C001,2020-02-11,4,471.43000000000006,36,0.1111111111111111,5.0
C001,2020-02-12,8,2118.77,36,0.2222222222222222,16.857765003591464
C001,2020-02-13,5,927.5600000000001,36,0.1388888888888889,9.187226033960851
C001,2020-02-14,4,719.01,36,0.1111111111111111,13.269201752021077
