clinic_id,visit_date,daily_visits,daily_revenue,unique_pets,unique_customers,revenue_per_visit,day_of_week,month,week_of_year,quarter,is_weekend,lag_1_visits,lag_7_visits,lag_14_visits,lag_30_visits,lag_7_revenue,lag_30_revenue,rolling_7d_visits_mean,rolling_14d_visits_mean,rolling_30d_visits_mean,rolling_7d_visits_std,rolling_30d_visits_std,rolling_7d_revenue_mean,rolling_30d_revenue_mean,demand_trend_7d
C001,2020-01-01,5,392.0,5,5,78.4,2,1,1,1,0,,,,,,,,,,,,,,
C001,2020-01-02,9,1588.72,9,9,176.52444444444444,3,1,1,1,0,5.0,,,,,,,,,,,,,
C001,2020-01-03,4,949.3699999999999,4,4,237.34249999999997,4,1,1,1,0,9.0,,,,,,,,,,,,,
C001,2020-01-04,5,770.03,5,5,154.006,5,1,1,1,1,4.0,,,,,,,,,,,,,
C001,2020-01-05,8,518.6,8,8,64.825,6,1,1,1,1,5.0,,,,,,,,,,,,,
C001,2020-01-06,10,2620.5,10,10,262.05,0,1,2,1,0,8.0,,,,,,,,,,,,,
C001,2020-01-07,3,505.97,3,3,168.65666666666667,1,1,2,1,0,10.0,,,,,,,,,,,,,
C001,2020-01-08,3,125.63,3,3,41.876666666666665,2,1,2,1,0,3.0,5.0,,,392.0,,6.285714285714286,,,2.690370836538197,,1049.3128571428572,,
C001,2020-01-09,5,1212.82,5,5,242.564,3,1,2,1,0,3.0,9.0,,,1588.72,,6.0,,,2.9439202887759492,,1011.26,,
C001,2020-01-10,9,2082.6,9,9,231.39999999999998,4,1,2,1,0,5.0,4.0,,,949.3699999999999,,5.428571428571429,,,2.6367367999823106,,957.5600000000001,,
C001,2020-01-11,9,784.61,9,9,87.17888888888889,5,1,2,1,1,9.0,5.0,,,770.03,,6.142857142857143,,,2.853569193634026,,1119.45,,
C001,2020-01-12,2,322.48,2,2,161.24,6,1,2,1,1,9.0,8.0,,,518.6,,6.714285714285714,,,2.984084768360628,,1121.532857142857,,
C001,2020-01-13,6,615.59,6,6,102.59833333333334,0,1,3,1,0,2.0,10.0,,,2620.5,,5.857142857142857,,,3.38765264987284,,1093.5157142857142,,
C001,2020-01-14,5,453.29999999999995,5,5,90.66,1,1,3,1,0,6.0,3.0,,,505.97,,5.285714285714286,,,2.870208222079931,,807.1000000000001,,
C001,2020-01-15,5,741.48,5,5,148.296,2,1,3,1,0,5.0,3.0,5.0,,125.63,,5.571428571428571,5.928571428571429,,2.6992062325273123,,799.5757142857144,,
C001,2020-01-16,6,1237.46,6,6,206.24333333333334,3,1,3,1,0,5.0,5.0,9.0,,1212.82,,5.857142857142857,5.928571428571429,,2.4784787961282104,,887.5542857142857,,
C001,2020-01-17,7,941.04,7,7,134.43428571428572,4,1,3,1,0,6.0,9.0,4.0,,2082.6,,6.0,5.714285714285714,,2.4494897427831783,,891.0742857142857,,
C001,2020-01-18,6,629.31,6,6,104.88499999999999,5,1,3,1,1,7.0,9.0,5.0,,784.61,,5.714285714285714,5.928571428571429,,2.138089935299395,,727.9942857142858,,
C001,2020-01-19,6,402.2,6,6,67.03333333333333,6,1,3,1,1,6.0,2.0,8.0,,322.48,,5.285714285714286,6.0,,1.6035674514745466,,705.8085714285714,,
C001,2020-01-20,3,203.11,3,3,67.70333333333333,0,1,4,1,0,6.0,6.0,10.0,,615.59,,5.857142857142857,5.857142857142857,,0.6900655593423553,,717.1971428571429,,
C001,2020-01-21,7,432.03000000000003,7,7,61.71857142857143,1,1,4,1,0,3.0,5.0,3.0,,453.29999999999995,,5.428571428571429,5.357142857142857,,1.272418020560704,,658.2714285714285,,
C001,2020-01-22,5,1229.86,5,5,245.97199999999998,2,1,4,1,0,7.0,5.0,3.0,,741.48,,5.714285714285714,5.642857142857143,,1.380131118684709,,655.2328571428571,,
C001,2020-01-23,4,1993.43,4,4,498.3575,3,1,4,1,0,5.0,6.0,5.0,,1237.46,,5.714285714285714,5.785714285714286,,1.380131118684709,,725.0014285714286,,
C001,2020-01-24,3,513.26,3,3,171.08666666666667,4,1,4,1,0,4.0,7.0,9.0,,941.04,,5.428571428571429,5.714285714285714,,1.5118578920369092,,832.9971428571428,,
C001,2020-01-25,6,684.85,6,6,114.14166666666667,5,1,4,1,1,3.0,6.0,9.0,,629.31,,4.857142857142857,5.285714285714286,,1.5735915849388864,,771.8857142857142,,
C001,2020-01-26,8,889.17,8,8,111.14625,6,1,4,1,1,6.0,6.0,2.0,,402.2,,4.857142857142857,5.071428571428571,,1.5735915849388864,,779.8199999999999,,
C001,2020-01-27,3,1497.67,3,3,499.22333333333336,0,1,5,1,0,8.0,3.0,6.0,,203.11,,5.142857142857143,5.5,,1.9518001458970666,,849.3871428571427,,
