pet_id,customer_id,pet_type,pet_breed,pet_age,pet_age_group,primary_clinic,visits_per_pet,revenue_per_pet,avg_visit_cost_pet,first_visit_date,last_visit_date,pet_lifetime_days,revenue_per_visit_pet,number_of_pets,total_customer_visits,total_customer_revenue,first_customer_visit,last_customer_visit,customer_lifetime_days
P000001,CU06810,Perro,San Bernardo,6,Adulto,C023,20,1939.3,96.965,2020-03-01,2024-11-14,1719,96.965,2,42,3715.91,2020-01-16,2024-11-14,1764
P000002,CU05871,Perro,Maltés,2,Joven,C038,54,7974.2,147.67037037037036,2020-01-03,2024-12-31,1824,147.67037037037036,4,113,15632.85,2020-01-03,2024-12-31,1824
P000003,CU06883,Perro,Akita,2,Joven,C039,34,6205.5,182.51470588235293,2020-03-09,2024-12-26,1753,182.51470588235293,4,131,22864.17,2020-01-08,2024-12-26,1814
P000004,CU17681,Perro,Doberman,6,Adulto,C025,21,2015.7,95.9857142857143,2020-03-19,2024-10-17,1673,95.9857142857143,1,21,2015.7,2020-03-19,2024-10-17,1673
P000005,CU06289,Perro,Akita,8,Adulto,C045,35,5268.29,150.52257142857144,2020-04-17,2024-12-16,1704,150.52257142857144,5,159,26805.63,2020-01-22,2024-12-19,1793
P000006,CU06372,Perro,Pastor Alemán,6,Adulto,C047,25,5509.42,220.3768,2020-03-16,2024-08-26,1624,220.3768,3,98,12777.23,2020-01-23,2024-12-08,1781
P000007,CU07944,Perro,Doberman,3,Adulto,C006,35,6276.19,179.31971428571427,2020-01-25,2024-12-08,1779,179.31971428571427,5,159,21137.510000000002,2020-01-01,2024-12-08,1803
P000008,CU15680,Perro,San Bernardo,2,Joven,C045,46,6331.44,137.64,2020-01-03,2024-11-21,1784,137.64,3,156,21507.809999999998,2020-01-03,2024-12-19,1812
P000009,CU14278,Gato,Gato Doméstico de Pelo Corto,4,Adulto,C030,15,1471.91,98.12733333333334,2020-05-31,2024-11-08,1622,98.12733333333334,1,15,1471.91,2020-05-31,2024-11-08,1622
P000010,CU10590,Perro,Basset Hound,0,Joven,C009,34,3142.61,92.42970588235295,2020-08-04,2024-12-22,1601,92.42970588235295,3,116,16999.77,2020-01-10,2024-12-24,1810
P000011,CU13047,Perro,Rottweiler,5,Adulto,C011,20,4112.46,205.623,2020-07-06,2024-10-21,1568,205.623,2,59,8379.73,2020-02-29,2024-12-11,1747
P000012,CU08838,Exótico,Tortuga,7,Adulto,C038,22,3277.28,148.96727272727273,2020-03-14,2024-11-17,1709,148.96727272727273,3,81,11651.68,2020-01-09,2024-12-12,1799
P000013,CU13235,Gato,Siamés,11,Senior,C045,27,4318.49,159.94407407407405,2020-04-04,2024-11-30,1701,159.94407407407405,1,27,4318.49,2020-04-04,2024-11-30,1701
P000014,CU06470,Exótico,Hurón,9,Senior,C019,32,6431.05,200.9703125,2020-01-01,2024-08-18,1691,200.9703125,2,72,14448.720000000001,2020-01-01,2024-12-25,1820
P000015,CU16609,Gato,Birmano,5,Adulto,C038,30,3113.88,103.796,2020-01-04,2024-09-12,1713,103.796,3,75,9488.23,2020-01-04,2024-10-21,1752
P000016,CU01829,Perro,Bulldog Francés,2,Joven,C013,55,8746.75,159.03181818181818,2020-03-09,2024-12-08,1735,159.03181818181818,2,75,11210.75,2020-03-09,2024-12-28,1755
P000017,CU14595,Perro,Maltés,11,Senior,C010,34,5939.05,174.6779411764706,2020-05-11,2024-11-23,1657,174.6779411764706,2,42,6996.05,2020-05-11,2024-11-23,1657
P000018,CU02220,Perro,Rottweiler,0,Joven,C002,42,5934.84,141.3057142857143,2020-01-14,2024-10-21,1742,141.3057142857143,1,42,5934.84,2020-01-14,2024-10-21,1742
P000019,CU01620,Perro,Caniche,12,Senior,C035,53,11579.18,218.47509433962264,2020-01-12,2024-07-20,1651,218.47509433962264,3,123,23825.34,2020-01-12,2024-12-18,1802
P000020,CU09311,Exótico,Gecko,3,Adulto,C044,18,2457.45,136.52499999999998,2020-02-17,2024-12-11,1759,136.52499999999998,1,18,2457.45,2020-02-17,2024-12-11,1759
P000021,CU10162,Perro,San Bernardo,7,Adulto,C022,27,5573.86,206.43925925925925,2020-05-30,2024-10-25,1609,206.43925925925925,2,70,12423.06,2020-02-16,2024-11-16,1735
P000022,CU05952,Gato,Azul Ruso,4,Adulto,C041,24,3199.45,133.31041666666667,2020-02-06,2024-09-29,1697,133.31041666666667,1,24,3199.45,2020-02-06,2024-09-29,1697
P000023,CU15525,Gato,Azul Ruso,7,Adulto,C025,13,810.17,62.32076923076923,2020-11-16,2024-10-25,1439,62.32076923076923,2,46,5535.0,2020-01-02,2024-10-25,1758
P000024,CU14061,Perro,Maltés,5,Adulto,C040,38,8387.22,220.71631578947367,2020-01-10,2024-12-04,1790,220.71631578947367,5,145,20988.55,2020-01-10,2024-12-29,1815
P000025,CU09511,Gato,Persa,7,Adulto,C015,16,1764.78,110.29875,2020-02-02,2024-08-11,1652,110.29875,2,41,4608.93,2020-02-02,2024-08-11,1652
P000026,CU09185,Perro,Labrador Retriever,11,Senior,C047,21,2536.79,120.7995238095238,2021-08-08,2024-11-25,1205,120.7995238095238,1,21,2536.79,2021-08-08,2024-11-25,1205
P000027,CU12791,Perro,Boston Terrier,5,Adulto,C006,35,4810.7300000000005,137.4494285714286,2020-03-12,2024-12-07,1731,137.4494285714286,2,83,11885.35,2020-02-25,2024-12-07,1747
P000028,CU17587,Perro,Bóxer,7,Adulto,C015,32,4074.29,127.3215625,2020-02-22,2024-09-04,1656,127.3215625,2,62,11360.21,2020-01-04,2024-09-04,1705
P000029,CU05789,Perro,Beagle,7,Adulto,C027,45,10122.4,224.94222222222223,2020-01-28,2024-11-07,1745,224.94222222222223,1,45,10122.4,2020-01-28,2024-11-07,1745
P000030,CU17335,Perro,Bulldog Francés,8,Adulto,C022,21,2878.46,137.06952380952382,2020-02-04,2024-09-05,1675,137.06952380952382,2,41,8086.24,2020-02-04,2024-09-05,1675
P000031,CU04613,Gato,Gato Doméstico de Pelo Corto,5,Adulto,C047,15,2658.61,177.24066666666667,2020-03-01,2023-12-23,1392,177.24066666666667,2,50,7579.880000000001,2020-01-05,2024-12-25,1816
P000032,CU06372,Perro,Bóxer,2,Joven,C015,28,3736.5099999999998,133.4467857142857,2020-04-22,2024-12-07,1690,133.4467857142857,3,98,12777.23,2020-01-23,2024-12-08,1781
P000033,CU03229,Perro,Chihuahua,9,Senior,C027,57,10600.6,185.97543859649124,2020-01-25,2024-11-27,1768,185.97543859649124,2,77,12823.11,2020-01-25,2024-11-27,1768
P000034,CU16479,Perro,Bulldog Francés,3,Adulto,C036,28,5222.38,186.51357142857142,2020-02-23,2024-12-24,1766,186.51357142857142,2,38,7437.71,2020-02-23,2024-12-24,1766
P000035,CU00794,Perro,Caniche,1,Joven,C023,23,2669.58,116.06869565217391,2020-02-12,2024-12-07,1760,116.06869565217391,2,79,10000.7,2020-02-12,2024-12-11,1764
P000036,CU00815,Perro,Gran Danés,2,Joven,C012,81,10620.86,131.12172839506172,2020-02-22,2024-12-12,1755,131.12172839506172,2,128,17740.03,2020-01-08,2024-12-28,1816
P000037,CU10458,Perro,Maltés,4,Adulto,C043,29,5166.139999999999,178.14275862068965,2020-06-12,2024-10-10,1581,178.14275862068965,1,29,5166.139999999999,2020-06-12,2024-10-10,1581
P000038,CU07148,Perro,Bulldog Francés,5,Adulto,C005,59,8331.22,141.20711864406778,2020-01-04,2024-12-29,1821,141.20711864406778,1,59,8331.22,2020-01-04,2024-12-29,1821
P000039,CU05960,Gato,Gato Doméstico de Pelo Corto,10,Senior,C029,29,3520.96,121.41241379310345,2020-02-01,2024-12-25,1789,121.41241379310345,1,29,3520.96,2020-02-01,2024-12-25,1789
P000040,CU11560,Gato,Azul Ruso,9,Senior,C023,21,2665.48,126.92761904761905,2020-01-12,2024-10-01,1724,126.92761904761905,2,59,8447.59,2020-01-12,2024-10-01,1724
P000041,CU01793,Perro,Boston Terrier,3,Adulto,C023,16,1738.27,108.641875,2020-04-04,2024-05-07,1494,108.641875,2,70,10620.17,2020-04-04,2024-09-21,1631
P000042,CU03073,Gato,Sphynx,3,Adulto,C040,28,3487.29,124.54607142857142,2020-01-06,2024-12-13,1803,124.54607142857142,2,58,9879.880000000001,2020-01-01,2024-12-13,1808
P000043,CU02709,Perro,Boston Terrier,8,Adulto,C026,26,3118.66,119.94846153846153,2020-03-27,2024-09-07,1625,119.94846153846153,4,114,14024.3,2020-02-01,2024-12-09,1773
P000044,CU13225,Perro,Bóxer,3,Adulto,C025,21,2433.4900000000002,115.8804761904762,2020-01-05,2024-05-15,1592,115.8804761904762,1,21,2433.4900000000002,2020-01-05,2024-05-15,1592
P000045,CU01626,Exótico,Hámster,0,Joven,C027,27,3890.33,144.0862962962963,2020-01-09,2024-07-10,1644,144.0862962962963,3,89,14121.09,2020-01-09,2024-12-24,1811
P000046,CU03601,Perro,Doberman,0,Joven,C024,62,8681.77,140.02854838709678,2020-02-26,2024-12-31,1770,140.02854838709678,2,90,11776.380000000001,2020-01-11,2024-12-31,1816
P000047,CU12313,Perro,Bulldog,2,Joven,C026,44,6785.48,154.21545454545455,2020-01-24,2024-11-11,1753,154.21545454545455,3,87,13491.09,2020-01-24,2024-12-27,1799
P000048,CU10396,Perro,Pastor Australiano,7,Adulto,C007,55,8796.210000000001,159.93109090909093,2020-03-30,2024-09-06,1621,159.93109090909093,2,76,10904.330000000002,2020-03-30,2024-11-20,1696
P000049,CU04945,Exótico,Conejo,8,Adulto,C040,9,991.66,110.18444444444444,2020-09-10,2023-12-12,1188,110.18444444444444,6,158,28393.870000000003,2020-01-01,2024-12-31,1826
P000050,CU09985,Perro,Basset Hound,5,Adulto,C019,41,7255.66,176.96731707317073,2020-03-29,2024-12-30,1737,176.96731707317073,2,77,11824.54,2020-01-02,2024-12-30,1824
P000051,CU02080,Perro,Pastor Australiano,4,Adulto,C040,44,4067.09,92.43386363636364,2020-02-22,2024-11-17,1730,92.43386363636364,1,44,4067.09,2020-02-22,2024-11-17,1730
P000052,CU00769,Gato,Devon Rex,3,Adulto,C050,29,4228.8099999999995,145.8210344827586,2020-01-06,2024-07-20,1657,145.8210344827586,3,98,13480.59,2020-01-06,2024-12-29,1819
P000053,CU06646,Perro,Maltés,9,Senior,C004,42,5046.48,120.1542857142857,2020-02-05,2024-12-25,1785,120.1542857142857,1,42,5046.48,2020-02-05,2024-12-25,1785
P000054,CU12343,Exótico,Chinchilla,4,Adulto,C010,10,1305.86,130.58599999999998,2020-08-16,2024-08-16,1461,130.58599999999998,4,128,20760.83,2020-01-10,2024-11-02,1758
