pet_id,customer_id,pet_type,pet_breed,pet_age,pet_age_group,primary_clinic
P000001,CU06810,Perro,San Bernardo,6,Adulto,C023
P000002,CU05871,Perro,Maltés,2,Joven,C038
P000003,CU06883,Perro,Akita,2,Joven,C039
P000004,CU17681,Perro,Doberman,6,Adulto,C025
P000005,CU06289,Perro,Akita,8,Adulto,C045
P000006,CU06372,Perro,Pastor Alemán,6,Adulto,C047
P000007,CU07944,Perro,Doberman,3,Adulto,C006
P000008,CU15680,Perro,San Bernardo,2,Joven,C045
P000009,CU14278,Gato,Gato Doméstico de Pelo Corto,4,Adulto,C030
P000010,CU10590,Perro,Basset Hound,0,Joven,C009
P000011,CU13047,Perro,Rottweiler,5,Adulto,C011
P000012,CU08838,Exótico,Tortuga,7,Adulto,C038
P000013,CU13235,Gato,Siamés,11,Senior,C045
P000014,CU06470,Exótico,Hurón,9,Senior,C019
P000015,CU16609,Gato,Birmano,5,Adulto,C038
P000016,CU01829,Perro,Bulldog Francés,2,Joven,C013
P000017,CU14595,Perro,Maltés,11,Senior,C010
P000018,CU02220,Perro,Rottweiler,0,Joven,C002
P000019,CU01620,Perro,Caniche,12,Senior,C035
P000020,CU09311,Exótico,Gecko,3,Adulto,C044
P000021,CU10162,Perro,San Bernardo,7,Adulto,C022
P000022,CU05952,Gato,Azul Ruso,4,Adulto,C041
P000023,CU15525,Gato,Azul Ruso,7,Adulto,C025
P000024,CU14061,Perro,Maltés,5,Adulto,C040
P000025,CU09511,Gato,Persa,7,Adulto,C015
P000026,CU09185,Perro,Labrador Retriever,11,Senior,C047
P000027,CU12791,Perro,Boston Terrier,5,Adulto,C006
P000028,CU17587,Perro,Bóxer,7,Adulto,C015
P000029,CU05789,Perro,Beagle,7,Adulto,C027
P000030,CU17335,Perro,Bulldog Francés,8,Adulto,C022
P000031,CU04613,Gato,Gato Doméstico de Pelo Corto,5,Adulto,C047
P000032,CU06372,Perro,Bóxer,2,Joven,C015
P000033,CU03229,Perro,Chihuahua,9,Senior,C027
P000034,CU16479,Perro,Bulldog Francés,3,Adulto,C036
P000035,CU00794,Perro,Caniche,1,Joven,C023
P000036,CU00815,Perro,Gran Danés,2,Joven,C012
P000037,CU10458,Perro,Maltés,4,Adulto,C043
P000038,CU07148,Perro,Bulldog Francés,5,Adulto,C005
P000039,CU05960,Gato,Gato Doméstico de Pelo Corto,10,Senior,C029
P000040,CU11560,Gato,Azul Ruso,9,Senior,C023
P000041,CU01793,Perro,Boston Terrier,3,Adulto,C023
P000042,CU03073,Gato,Sphynx,3,Adulto,C040
P000043,CU02709,Perro,Boston Terrier,8,Adulto,C026
P000044,CU13225,Perro,Bóxer,3,Adulto,C025
P000045,CU01626,Exótico,Hámster,0,Joven,C027
P000046,CU03601,Perro,Doberman,0,Joven,C024
P000047,CU12313,Perro,Bulldog,2,Joven,C026
P000048,CU10396,Perro,Pastor Australiano,7,Adulto,C007
P000049,CU04945,Exótico,Conejo,8,Adulto,C040
P000050,CU09985,Perro,Basset Hound,5,Adulto,C019
P000051,CU02080,Perro,Pastor Australiano,4,Adulto,C040
P000052,CU00769,Gato,Devon Rex,3,Adulto,C050
